"File","Lines","Extension"
"kernel\arch\x86_64\spi.c","261",".c"
"kernel\arch\x86_64\swap.c","518",".c"
"kernel\arch\x86_64\system_sounds.c","131",".c"
"kernel\arch\x86_64\tcp_bbr.c","406",".c"
"kernel\arch\x86_64\tcp_cong.c","540",".c"
"kernel\arch\x86_64\thermal.c","406",".c"
"kernel\arch\x86_64\tmpfs.c","182",".c"
"kernel\arch\x86_64\uart.c","583",".c"
"kernel\arch\x86_64\usb_hid.c","453",".c"
"kernel\arch\x86_64\usermode.c","174",".c"
"kernel\arch\x86_64\vga.c","127",".c"
"kernel\arch\x86_64\virtio.c","281",".c"
"kernel\arch\x86_64\vlan.c","188",".c"
"kernel\arch\x86_64\watchdog.c","460",".c"
"kernel\arch\x86_64\win32_advapi32.c","2252",".c"
"kernel\arch\x86_64\win32_gdi_and_msg.c","1905",".c"
"kernel\arch\x86_64\win32_kernel32.c","2185",".c"
"kernel\arch\x86_64\win32_msvcrt.c","1198",".c"
"kernel\arch\x86_64\win32_ntdll.c","872",".c"
"kernel\arch\x86_64\win32_process.c","1257",".c"
"kernel\arch\x86_64\win32_security.c","922",".c"
"kernel\arch\x86_64\win32_shell.c","3011",".c"
"kernel\arch\x86_64\win32_stubs.c","96",".c"
"kernel\arch\x86_64\wmi.c","732",".c"
"kernel\arch\x86_64\xhci.c","67",".c"
"kernel\compat\leonos_compat.c","144",".c"
"kernel\compat\leonos_compat.h","33",".h"
"kernel\gui\include\browser.h","15",".h"
"kernel\gui\include\cjk_font.h","17",".h"
"kernel\gui\include\color.h","598",".h"
"kernel\gui\include\compat_center.h","9",".h"
"kernel\gui\include\cursor_data.h","25",".h"
"kernel\gui\include\desktop.h","190",".h"
"kernel\gui\include\emoji_font.h","16",".h"
"kernel\gui\include\filemgr.h","15",".h"
"kernel\gui\include\font.h","17",".h"
"kernel\gui\include\font_data.h","8",".h"
"kernel\gui\include\font_ttf.h","16",".h"
"kernel\gui\include\framebuffer.h","94",".h"
"kernel\gui\include\graphics.h","15",".h"
"kernel\gui\include\gui.h","7",".h"
"kernel\gui\include\icon.h","619",".h"
"kernel\gui\include\icon_data.h","17",".h"
"kernel\gui\include\icon_registry.h","18",".h"
"kernel\gui\include\kenux_assets.h","9",".h"
"kernel\gui\include\kenux_render.h","196",".h"
"kernel\gui\include\kenux_ui.h","254",".h"
"kernel\gui\include\logo_data.h","12",".h"
"kernel\gui\include\msf.h","80",".h"
"kernel\gui\include\stb_truetype.h","5079",".h"
"kernel\gui\include\sysinfo.h","13",".h"
"kernel\gui\include\taskmgr.h","15",".h"
"kernel\gui\include\terminal.h","17",".h"
"kernel\gui\include\textedit.h","15",".h"
"kernel\gui\include\thispc.h","13",".h"
"kernel\gui\include\types.h","17",".h"
"kernel\gui\include\wallpaper_data.h","12",".h"
"kernel\gui\include\widget.h","62",".h"
"kernel\gui\include\window.h","81",".h"
"kernel\gui\include\window_manager.h","65",".h"
"kernel\gui\src\browser.c","805",".c"
"kernel\gui\src\cjk_font.c","7223",".c"
"kernel\gui\src\color.c","291",".c"
"kernel\gui\src\compat_center.c","114",".c"
"kernel\gui\src\cursor_data.c","1851",".c"
"kernel\gui\src\desktop.c","1228",".c"
"kernel\gui\src\emoji_font.c","196",".c"
"kernel\gui\src\filemgr.c","669",".c"
"kernel\gui\src\font.c","232",".c"
"kernel\gui\src\font_data.c","101",".c"
"kernel\gui\src\font_ttf.c","198",".c"
"kernel\gui\src\framebuffer.c","676",".c"
"kernel\gui\src\graphics.c","82",".c"
"kernel\gui\src\icon.c","578",".c"
"kernel\gui\src\icon_data.c","74330",".c"
"kernel\gui\src\icon_registry.c","620",".c"
"kernel\gui\src\kenux_asset_file.c","132",".c"
"kernel\gui\src\kenux_asset_folder.c","132",".c"
"kernel\gui\src\kenux_render.c","870",".c"
"kernel\gui\src\kenux_ui.c","1243",".c"
"kernel\gui\src\main.c","1059",".c"
"kernel\gui\src\msf.c","753",".c"
"kernel\gui\src\sysinfo.c","321",".c"
"kernel\gui\src\taskmgr.c","267",".c"
"kernel\gui\src\terminal.c","579",".c"
